AALA__ref	AALA__ref
AAXJ__ref	AAXJ__ref
ABEH__ref	ABEH__ref
ABSS__ref	ABSS__ref
ADHK__ref	ADHK__ref
AEPI__ref	AEPI__ref
AFLV__ref	AFLV__ref
AFQQ__ref	AFQQ__ref
AIOU__ref	AIOU__ref
AJFN__ref	AJFN__ref
ALUC__ref	ALUC__ref
ANI_Anisophyllea_cinnamomoides	ANI_Anisophyllea_cinnamomoides
ANI_Anisophyllea_cinnamomoides__00	ANI_Anisophyllea_cinnamomoides
ANI_Anisophyllea_cinnamomoides__01	ANI_Anisophyllea_cinnamomoides
ANI_Anisophyllea_cinnamomoides__02	ANI_Anisophyllea_cinnamomoides
ANI_Anisophyllea_purpurascens_GSK	ANI_Anisophyllea_purpurascens_GSK
ANI_Anisophyllea_purpurascens_GSK__00	ANI_Anisophyllea_purpurascens_GSK
ANI_Anisophyllea_purpurascens_GSK__01	ANI_Anisophyllea_purpurascens_GSK
ANI_Anisophyllea_purpurascens_GSK__02	ANI_Anisophyllea_purpurascens_GSK
ANI_Anisophyllea_purpurascens_GSK__03	ANI_Anisophyllea_purpurascens_GSK
ANI_Anisophyllea_purpurascens_GSK__04	ANI_Anisophyllea_purpurascens_GSK
ANI_Anisophyllea_purpurascens_GSK__05	ANI_Anisophyllea_purpurascens_GSK
ANI_Combretocarpus_rotundatus	ANI_Combretocarpus_rotundatus
ANI_Combretocarpus_rotundatus__00	ANI_Combretocarpus_rotundatus
ANI_Combretocarpus_rotundatus__01	ANI_Combretocarpus_rotundatus
ANI_Combretocarpus_rotundatus__02	ANI_Combretocarpus_rotundatus
ANI_Combretocarpus_rotundatus__03	ANI_Combretocarpus_rotundatus
ANI_Combretocarpus_rotundatus__04	ANI_Combretocarpus_rotundatus
ANI_Combretocarpus_rotundatus__05	ANI_Combretocarpus_rotundatus
ANI_Poga_oleosa	ANI_Poga_oleosa
ANI_Poga_oleosa__00	ANI_Poga_oleosa
ANI_Poga_oleosa__01	ANI_Poga_oleosa
ANI_Poga_oleosa__02	ANI_Poga_oleosa
ANI_Poga_oleosa__03	ANI_Poga_oleosa
ANI_Polygonanthus_amazonicus	ANI_Polygonanthus_amazonicus
ANI_Polygonanthus_amazonicus__00	ANI_Polygonanthus_amazonicus
ANI_Polygonanthus_amazonicus__01	ANI_Polygonanthus_amazonicus
ANI_Polygonanthus_amazonicus__02	ANI_Polygonanthus_amazonicus
APO_Apodanthes_caseariae	APO_Apodanthes_caseariae
APO_Apodanthes_caseariae__00	APO_Apodanthes_caseariae
APO_Apodanthes_caseariae__01	APO_Apodanthes_caseariae
